,month,stats,race_or_age,state_or_region,value,year,value_flt,time
234635,Aug,avg,≥6 months,West Virginia,2.0,2014-2015,2.0,2014-08-15
234640,Sep,avg,≥6 months,West Virginia,10.8,2014-2015,10.8,2014-09-15
234645,Oct,avg,≥6 months,West Virginia,33.3,2014-2015,33.3,2014-10-15
234650,Nov,avg,≥6 months,West Virginia,43.7,2014-2015,43.7,2014-11-15
234655,Dec,avg,≥6 months,West Virginia,47.1,2014-2015,47.1,2014-12-15
234660,Jan,avg,≥6 months,West Virginia,49.0,2014-2015,49.0,2015-01-15
234665,Feb,avg,≥6 months,West Virginia,50.4,2014-2015,50.4,2015-02-15
234670,Mar,avg,≥6 months,West Virginia,50.7,2014-2015,50.7,2015-03-15
234675,Apr,avg,≥6 months,West Virginia,50.9,2014-2015,50.9,2015-04-15
234680,May,avg,≥6 months,West Virginia,51.1,2014-2015,51.1,2015-05-15
235620,Jul,avg,≥6 months,Wisconsin,0.2,2014-2015,0.2,2014-07-15
235625,Aug,avg,≥6 months,Wisconsin,1.2,2014-2015,1.2,2014-08-15
235630,Sep,avg,≥6 months,Wisconsin,7.0,2014-2015,7.0,2014-09-15
235635,Oct,avg,≥6 months,Wisconsin,26.5,2014-2015,26.5,2014-10-15
235640,Nov,avg,≥6 months,Wisconsin,37.7,2014-2015,37.7,2014-11-15
235645,Dec,avg,≥6 months,Wisconsin,41.2,2014-2015,41.2,2014-12-15
235650,Jan,avg,≥6 months,Wisconsin,43.0,2014-2015,43.0,2015-01-15
235655,Feb,avg,≥6 months,Wisconsin,43.7,2014-2015,43.7,2015-02-15
235660,Mar,avg,≥6 months,Wisconsin,43.8,2014-2015,43.8,2015-03-15
235665,Apr,avg,≥6 months,Wisconsin,44.0,2014-2015,44.0,2015-04-15
235670,May,avg,≥6 months,Wisconsin,44.1,2014-2015,44.1,2015-05-15
236615,Aug,avg,≥6 months,Wyoming,1.3,2014-2015,1.3,2014-08-15
236620,Sep,avg,≥6 months,Wyoming,6.1,2014-2015,6.1,2014-09-15
236625,Oct,avg,≥6 months,Wyoming,25.5,2014-2015,25.5,2014-10-15
236630,Nov,avg,≥6 months,Wyoming,33.8,2014-2015,33.8,2014-11-15
236635,Dec,avg,≥6 months,Wyoming,36.1,2014-2015,36.1,2014-12-15
236640,Jan,avg,≥6 months,Wyoming,38.4,2014-2015,38.4,2015-01-15
236645,Feb,avg,≥6 months,Wyoming,39.5,2014-2015,39.5,2015-02-15
236650,Mar,avg,≥6 months,Wyoming,40.2,2014-2015,40.2,2015-03-15
236655,Apr,avg,≥6 months,Wyoming,40.4,2014-2015,40.4,2015-04-15
236660,May,avg,≥6 months,Wyoming,40.4,2014-2015,40.4,2015-05-15
249485,Aug,avg,≥6 months,Alabama,2.3,2013-2014,2.3,2013-08-15
249490,Sep,avg,≥6 months,Alabama,9.6,2013-2014,9.6,2013-09-15
249495,Oct,avg,≥6 months,Alabama,28.7,2013-2014,28.7,2013-10-15
249500,Nov,avg,≥6 months,Alabama,37.9,2013-2014,37.9,2013-11-15
249505,Dec,avg,≥6 months,Alabama,41.2,2013-2014,41.2,2013-12-15
249510,Jan,avg,≥6 months,Alabama,44.7,2013-2014,44.7,2014-01-15
249515,Feb,avg,≥6 months,Alabama,46.1,2013-2014,46.1,2014-02-15
249520,Mar,avg,≥6 months,Alabama,46.7,2013-2014,46.7,2014-03-15
249525,Apr,avg,≥6 months,Alabama,47.9,2013-2014,47.9,2014-04-15
249530,May,avg,≥6 months,Alabama,48.3,2013-2014,48.3,2014-05-15
250468,Jul,avg,≥6 months,Alaska,0.4,2013-2014,0.4,2013-07-15
250473,Aug,avg,≥6 months,Alaska,2.2,2013-2014,2.2,2013-08-15
250478,Sep,avg,≥6 months,Alaska,8.6,2013-2014,8.6,2013-09-15
250483,Oct,avg,≥6 months,Alaska,24.1,2013-2014,24.1,2013-10-15
250488,Nov,avg,≥6 months,Alaska,32.4,2013-2014,32.4,2013-11-15
250493,Dec,avg,≥6 months,Alaska,35.3,2013-2014,35.3,2013-12-15
250498,Jan,avg,≥6 months,Alaska,38.9,2013-2014,38.9,2014-01-15
250503,Feb,avg,≥6 months,Alaska,40.3,2013-2014,40.3,2014-02-15
250508,Mar,avg,≥6 months,Alaska,41.0,2013-2014,41.0,2014-03-15
250513,Apr,avg,≥6 months,Alaska,41.3,2013-2014,41.3,2014-04-15
250518,May,avg,≥6 months,Alaska,41.7,2013-2014,41.7,2014-05-15
251456,Jul,avg,≥6 months,Arizona,0.6,2013-2014,0.6,2013-07-15
251461,Aug,avg,≥6 months,Arizona,3.1,2013-2014,3.1,2013-08-15
251466,Sep,avg,≥6 months,Arizona,9.6,2013-2014,9.6,2013-09-15
251471,Oct,avg,≥6 months,Arizona,24.2,2013-2014,24.2,2013-10-15
251476,Nov,avg,≥6 months,Arizona,30.6,2013-2014,30.6,2013-11-15
251481,Dec,avg,≥6 months,Arizona,32.8,2013-2014,32.8,2013-12-15
251486,Jan,avg,≥6 months,Arizona,35.5,2013-2014,35.5,2014-01-15
251491,Feb,avg,≥6 months,Arizona,37.2,2013-2014,37.2,2014-02-15
251496,Mar,avg,≥6 months,Arizona,38.0,2013-2014,38.0,2014-03-15
251501,Apr,avg,≥6 months,Arizona,38.3,2013-2014,38.3,2014-04-15
251506,May,avg,≥6 months,Arizona,38.5,2013-2014,38.5,2014-05-15
252449,Aug,avg,≥6 months,Arkansas,1.4,2013-2014,1.4,2013-08-15
252454,Sep,avg,≥6 months,Arkansas,5.4,2013-2014,5.4,2013-09-15
252459,Oct,avg,≥6 months,Arkansas,26.8,2013-2014,26.8,2013-10-15
252464,Nov,avg,≥6 months,Arkansas,39.0,2013-2014,39.0,2013-11-15
252469,Dec,avg,≥6 months,Arkansas,42.9,2013-2014,42.9,2013-12-15
252474,Jan,avg,≥6 months,Arkansas,46.1,2013-2014,46.1,2014-01-15
252479,Feb,avg,≥6 months,Arkansas,48.0,2013-2014,48.0,2014-02-15
252484,Mar,avg,≥6 months,Arkansas,48.5,2013-2014,48.5,2014-03-15
252489,Apr,avg,≥6 months,Arkansas,49.7,2013-2014,49.7,2014-04-15
252494,May,avg,≥6 months,Arkansas,49.7,2013-2014,49.7,2014-05-15
253432,Jul,avg,≥6 months,California,1.1,2013-2014,1.1,2013-07-15
253437,Aug,avg,≥6 months,California,4.5,2013-2014,4.5,2013-08-15
253442,Sep,avg,≥6 months,California,13.4,2013-2014,13.4,2013-09-15
253447,Oct,avg,≥6 months,California,31.8,2013-2014,31.8,2013-10-15
253452,Nov,avg,≥6 months,California,42.6,2013-2014,42.6,2013-11-15
254425,Aug,avg,≥6 months,Colorado,2.3,2013-2014,2.3,2013-08-15
254430,Sep,avg,≥6 months,Colorado,10.1,2013-2014,10.1,2013-09-15
254435,Oct,avg,≥6 months,Colorado,32.1,2013-2014,32.1,2013-10-15
254440,Nov,avg,≥6 months,Colorado,42.6,2013-2014,42.6,2013-11-15
254445,Dec,avg,≥6 months,Colorado,46.3,2013-2014,46.3,2013-12-15
254450,Jan,avg,≥6 months,Colorado,49.0,2013-2014,49.0,2014-01-15
254455,Feb,avg,≥6 months,Colorado,50.5,2013-2014,50.5,2014-02-15
254460,Mar,avg,≥6 months,Colorado,51.3,2013-2014,51.3,2014-03-15
254465,Apr,avg,≥6 months,Colorado,51.6,2013-2014,51.6,2014-04-15
254470,May,avg,≥6 months,Colorado,51.8,2013-2014,51.8,2014-05-15
255408,Jul,avg,≥6 months,Connecticut,0.5,2013-2014,0.5,2013-07-15
255413,Aug,avg,≥6 months,Connecticut,1.7,2013-2014,1.7,2013-08-15
255418,Sep,avg,≥6 months,Connecticut,8.8,2013-2014,8.8,2013-09-15
255423,Oct,avg,≥6 months,Connecticut,30.9,2013-2014,30.9,2013-10-15
255428,Nov,avg,≥6 months,Connecticut,42.7,2013-2014,42.7,2013-11-15
255433,Dec,avg,≥6 months,Connecticut,46.4,2013-2014,46.4,2013-12-15
255438,Jan,avg,≥6 months,Connecticut,48.9,2013-2014,48.9,2014-01-15
255443,Feb,avg,≥6 months,Connecticut,50.4,2013-2014,50.4,2014-02-15
255448,Mar,avg,≥6 months,Connecticut,51.7,2013-2014,51.7,2014-03-15
255453,Apr,avg,≥6 months,Connecticut,51.7,2013-2014,51.7,2014-04-15
255458,May,avg,≥6 months,Connecticut,51.8,2013-2014,51.8,2014-05-15
256396,Jul,avg,≥6 months,Delaware,0.6,2013-2014,0.6,2013-07-15
256401,Aug,avg,≥6 months,Delaware,2.0,2013-2014,2.0,2013-08-15
256406,Sep,avg,≥6 months,Delaware,11.0,2013-2014,11.0,2013-09-15
256411,Oct,avg,≥6 months,Delaware,30.4,2013-2014,30.4,2013-10-15
256416,Nov,avg,≥6 months,Delaware,40.4,2013-2014,40.4,2013-11-15
256421,Dec,avg,≥6 months,Delaware,43.9,2013-2014,43.9,2013-12-15
256426,Jan,avg,≥6 months,Delaware,46.6,2013-2014,46.6,2014-01-15
256431,Feb,avg,≥6 months,Delaware,48.5,2013-2014,48.5,2014-02-15
256436,Mar,avg,≥6 months,Delaware,49.3,2013-2014,49.3,2014-03-15
256441,Apr,avg,≥6 months,Delaware,49.7,2013-2014,49.7,2014-04-15
256446,May,avg,≥6 months,Delaware,50.0,2013-2014,50.0,2014-05-15
258372,Jul,avg,≥6 months,Florida,0.8,2013-2014,0.8,2013-07-15
258377,Aug,avg,≥6 months,Florida,2.8,2013-2014,2.8,2013-08-15
258382,Sep,avg,≥6 months,Florida,9.3,2013-2014,9.3,2013-09-15
258387,Oct,avg,≥6 months,Florida,21.4,2013-2014,21.4,2013-10-15
258392,Nov,avg,≥6 months,Florida,28.6,2013-2014,28.6,2013-11-15
258397,Dec,avg,≥6 months,Florida,31.6,2013-2014,31.6,2013-12-15
258402,Jan,avg,≥6 months,Florida,34.1,2013-2014,34.1,2014-01-15
258407,Feb,avg,≥6 months,Florida,35.8,2013-2014,35.8,2014-02-15
258412,Mar,avg,≥6 months,Florida,36.8,2013-2014,36.8,2014-03-15
258417,Apr,avg,≥6 months,Florida,37.1,2013-2014,37.1,2014-04-15
258422,May,avg,≥6 months,Florida,37.5,2013-2014,37.5,2014-05-15
259360,Jul,avg,≥6 months,Georgia,0.7,2013-2014,0.7,2013-07-15
259365,Aug,avg,≥6 months,Georgia,3.0,2013-2014,3.0,2013-08-15
259370,Sep,avg,≥6 months,Georgia,9.8,2013-2014,9.8,2013-09-15
259375,Oct,avg,≥6 months,Georgia,24.0,2013-2014,24.0,2013-10-15
259380,Nov,avg,≥6 months,Georgia,31.3,2013-2014,31.3,2013-11-15
259385,Dec,avg,≥6 months,Georgia,34.1,2013-2014,34.1,2013-12-15
259390,Jan,avg,≥6 months,Georgia,36.9,2013-2014,36.9,2014-01-15
259395,Feb,avg,≥6 months,Georgia,38.4,2013-2014,38.4,2014-02-15
259400,Mar,avg,≥6 months,Georgia,39.0,2013-2014,39.0,2014-03-15
259405,Apr,avg,≥6 months,Georgia,39.3,2013-2014,39.3,2014-04-15
259410,May,avg,≥6 months,Georgia,39.3,2013-2014,39.3,2014-05-15
260348,Jul,avg,≥6 months,Hawaii,1.1,2013-2014,1.1,2013-07-15
260353,Aug,avg,≥6 months,Hawaii,5.1,2013-2014,5.1,2013-08-15
260358,Sep,avg,≥6 months,Hawaii,15.3,2013-2014,15.3,2013-09-15
260363,Oct,avg,≥6 months,Hawaii,31.4,2013-2014,31.4,2013-10-15
260368,Nov,avg,≥6 months,Hawaii,41.7,2013-2014,41.7,2013-11-15
260373,Dec,avg,≥6 months,Hawaii,44.9,2013-2014,44.9,2013-12-15
260378,Jan,avg,≥6 months,Hawaii,48.7,2013-2014,48.7,2014-01-15
260383,Feb,avg,≥6 months,Hawaii,50.9,2013-2014,50.9,2014-02-15
260388,Mar,avg,≥6 months,Hawaii,52.9,2013-2014,52.9,2014-03-15
260393,Apr,avg,≥6 months,Hawaii,53.3,2013-2014,53.3,2014-04-15
260398,May,avg,≥6 months,Hawaii,54.4,2013-2014,54.4,2014-05-15
261336,Jul,avg,≥6 months,Idaho,0.2,2013-2014,0.2,2013-07-15
261341,Aug,avg,≥6 months,Idaho,1.4,2013-2014,1.4,2013-08-15
261346,Sep,avg,≥6 months,Idaho,6.6,2013-2014,6.6,2013-09-15
261351,Oct,avg,≥6 months,Idaho,22.7,2013-2014,22.7,2013-10-15
261356,Nov,avg,≥6 months,Idaho,30.9,2013-2014,30.9,2013-11-15
261361,Dec,avg,≥6 months,Idaho,33.6,2013-2014,33.6,2013-12-15
261366,Jan,avg,≥6 months,Idaho,35.8,2013-2014,35.8,2014-01-15
261371,Feb,avg,≥6 months,Idaho,36.7,2013-2014,36.7,2014-02-15
261376,Mar,avg,≥6 months,Idaho,37.3,2013-2014,37.3,2014-03-15
261381,Apr,avg,≥6 months,Idaho,37.7,2013-2014,37.7,2014-04-15
261386,May,avg,≥6 months,Idaho,37.9,2013-2014,37.9,2014-05-15
262324,Jul,avg,≥6 months,Illinois,0.5,2013-2014,0.5,2013-07-15
262329,Aug,avg,≥6 months,Illinois,2.3,2013-2014,2.3,2013-08-15
262334,Sep,avg,≥6 months,Illinois,9.3,2013-2014,9.3,2013-09-15
262339,Oct,avg,≥6 months,Illinois,27.0,2013-2014,27.0,2013-10-15
262344,Nov,avg,≥6 months,Illinois,35.2,2013-2014,35.2,2013-11-15
262349,Dec,avg,≥6 months,Illinois,38.6,2013-2014,38.6,2013-12-15
262354,Jan,avg,≥6 months,Illinois,41.4,2013-2014,41.4,2014-01-15
262359,Feb,avg,≥6 months,Illinois,42.6,2013-2014,42.6,2014-02-15
262364,Mar,avg,≥6 months,Illinois,43.1,2013-2014,43.1,2014-03-15
262369,Apr,avg,≥6 months,Illinois,43.2,2013-2014,43.2,2014-04-15
262374,May,avg,≥6 months,Illinois,43.4,2013-2014,43.4,2014-05-15
263312,Jul,avg,≥6 months,Indiana,0.5,2013-2014,0.5,2013-07-15
263317,Aug,avg,≥6 months,Indiana,1.7,2013-2014,1.7,2013-08-15
263322,Sep,avg,≥6 months,Indiana,7.4,2013-2014,7.4,2013-09-15
263327,Oct,avg,≥6 months,Indiana,24.9,2013-2014,24.9,2013-10-15
263332,Nov,avg,≥6 months,Indiana,33.8,2013-2014,33.8,2013-11-15
263337,Dec,avg,≥6 months,Indiana,36.3,2013-2014,36.3,2013-12-15
263342,Jan,avg,≥6 months,Indiana,38.8,2013-2014,38.8,2014-01-15
263347,Feb,avg,≥6 months,Indiana,40.0,2013-2014,40.0,2014-02-15
263352,Mar,avg,≥6 months,Indiana,40.9,2013-2014,40.9,2014-03-15
263357,Apr,avg,≥6 months,Indiana,41.1,2013-2014,41.1,2014-04-15
263362,May,avg,≥6 months,Indiana,41.5,2013-2014,41.5,2014-05-15
264305,Aug,avg,≥6 months,Iowa,2.0,2013-2014,2.0,2013-08-15
264310,Sep,avg,≥6 months,Iowa,8.2,2013-2014,8.2,2013-09-15
264315,Oct,avg,≥6 months,Iowa,30.4,2013-2014,30.4,2013-10-15
264320,Nov,avg,≥6 months,Iowa,41.7,2013-2014,41.7,2013-11-15
264325,Dec,avg,≥6 months,Iowa,44.7,2013-2014,44.7,2013-12-15
264330,Jan,avg,≥6 months,Iowa,46.7,2013-2014,46.7,2014-01-15
264335,Feb,avg,≥6 months,Iowa,47.5,2013-2014,47.5,2014-02-15
264340,Mar,avg,≥6 months,Iowa,48.4,2013-2014,48.4,2014-03-15
264345,Apr,avg,≥6 months,Iowa,48.6,2013-2014,48.6,2014-04-15
264350,May,avg,≥6 months,Iowa,48.6,2013-2014,48.6,2014-05-15
265288,Jul,avg,≥6 months,Kansas,0.6,2013-2014,0.6,2013-07-15
265293,Aug,avg,≥6 months,Kansas,1.9,2013-2014,1.9,2013-08-15
265298,Sep,avg,≥6 months,Kansas,8.8,2013-2014,8.8,2013-09-15
265303,Oct,avg,≥6 months,Kansas,30.1,2013-2014,30.1,2013-10-15
265308,Nov,avg,≥6 months,Kansas,39.9,2013-2014,39.9,2013-11-15
265313,Dec,avg,≥6 months,Kansas,42.9,2013-2014,42.9,2013-12-15
265318,Jan,avg,≥6 months,Kansas,45.1,2013-2014,45.1,2014-01-15
265323,Feb,avg,≥6 months,Kansas,45.9,2013-2014,45.9,2014-02-15
265328,Mar,avg,≥6 months,Kansas,46.6,2013-2014,46.6,2014-03-15
265333,Apr,avg,≥6 months,Kansas,46.6,2013-2014,46.6,2014-04-15
265338,May,avg,≥6 months,Kansas,47.0,2013-2014,47.0,2014-05-15
266281,Aug,avg,≥6 months,Kentucky,1.8,2013-2014,1.8,2013-08-15
266286,Sep,avg,≥6 months,Kentucky,8.4,2013-2014,8.4,2013-09-15
266291,Oct,avg,≥6 months,Kentucky,28.1,2013-2014,28.1,2013-10-15
266296,Nov,avg,≥6 months,Kentucky,38.5,2013-2014,38.5,2013-11-15
266301,Dec,avg,≥6 months,Kentucky,41.8,2013-2014,41.8,2013-12-15
266306,Jan,avg,≥6 months,Kentucky,44.7,2013-2014,44.7,2014-01-15
266311,Feb,avg,≥6 months,Kentucky,45.9,2013-2014,45.9,2014-02-15
266316,Mar,avg,≥6 months,Kentucky,46.4,2013-2014,46.4,2014-03-15
266321,Apr,avg,≥6 months,Kentucky,46.9,2013-2014,46.9,2014-04-15
266326,May,avg,≥6 months,Kentucky,46.9,2013-2014,46.9,2014-05-15
267264,Jul,avg,≥6 months,Louisiana,0.6,2013-2014,0.6,2013-07-15
267269,Aug,avg,≥6 months,Louisiana,2.2,2013-2014,2.2,2013-08-15
267274,Sep,avg,≥6 months,Louisiana,9.3,2013-2014,9.3,2013-09-15
267279,Oct,avg,≥6 months,Louisiana,24.6,2013-2014,24.6,2013-10-15
267284,Nov,avg,≥6 months,Louisiana,33.4,2013-2014,33.4,2013-11-15
267289,Dec,avg,≥6 months,Louisiana,37.1,2013-2014,37.1,2013-12-15
267294,Jan,avg,≥6 months,Louisiana,40.9,2013-2014,40.9,2014-01-15
267299,Feb,avg,≥6 months,Louisiana,43.1,2013-2014,43.1,2014-02-15
267304,Mar,avg,≥6 months,Louisiana,44.0,2013-2014,44.0,2014-03-15
267309,Apr,avg,≥6 months,Louisiana,44.5,2013-2014,44.5,2014-04-15
267314,May,avg,≥6 months,Louisiana,44.6,2013-2014,44.6,2014-05-15
268257,Aug,avg,≥6 months,Maine,1.5,2013-2014,1.5,2013-08-15
268262,Sep,avg,≥6 months,Maine,7.8,2013-2014,7.8,2013-09-15
268267,Oct,avg,≥6 months,Maine,28.4,2013-2014,28.4,2013-10-15
268272,Nov,avg,≥6 months,Maine,39.9,2013-2014,39.9,2013-11-15
268277,Dec,avg,≥6 months,Maine,43.9,2013-2014,43.9,2013-12-15
268282,Jan,avg,≥6 months,Maine,46.1,2013-2014,46.1,2014-01-15
268287,Feb,avg,≥6 months,Maine,47.0,2013-2014,47.0,2014-02-15
268292,Mar,avg,≥6 months,Maine,47.6,2013-2014,47.6,2014-03-15
268297,Apr,avg,≥6 months,Maine,47.8,2013-2014,47.8,2014-04-15
268302,May,avg,≥6 months,Maine,47.8,2013-2014,47.8,2014-05-15
269245,Aug,avg,≥6 months,Maryland,2.0,2013-2014,2.0,2013-08-15
269250,Sep,avg,≥6 months,Maryland,9.6,2013-2014,9.6,2013-09-15
269255,Oct,avg,≥6 months,Maryland,30.3,2013-2014,30.3,2013-10-15
269260,Nov,avg,≥6 months,Maryland,39.2,2013-2014,39.2,2013-11-15
269265,Dec,avg,≥6 months,Maryland,42.9,2013-2014,42.9,2013-12-15
269270,Jan,avg,≥6 months,Maryland,45.8,2013-2014,45.8,2014-01-15
269275,Feb,avg,≥6 months,Maryland,47.9,2013-2014,47.9,2014-02-15
269280,Mar,avg,≥6 months,Maryland,48.6,2013-2014,48.6,2014-03-15
269285,Apr,avg,≥6 months,Maryland,48.8,2013-2014,48.8,2014-04-15
269290,May,avg,≥6 months,Maryland,48.9,2013-2014,48.9,2014-05-15
270228,Jul,avg,≥6 months,Massachusetts,0.4,2013-2014,0.4,2013-07-15
270233,Aug,avg,≥6 months,Massachusetts,1.6,2013-2014,1.6,2013-08-15
270238,Sep,avg,≥6 months,Massachusetts,10.8,2013-2014,10.8,2013-09-15
270243,Oct,avg,≥6 months,Massachusetts,32.7,2013-2014,32.7,2013-10-15
270248,Nov,avg,≥6 months,Massachusetts,44.3,2013-2014,44.3,2013-11-15
270253,Dec,avg,≥6 months,Massachusetts,48.8,2013-2014,48.8,2013-12-15
270258,Jan,avg,≥6 months,Massachusetts,51.5,2013-2014,51.5,2014-01-15
270263,Feb,avg,≥6 months,Massachusetts,52.6,2013-2014,52.6,2014-02-15
270268,Mar,avg,≥6 months,Massachusetts,53.0,2013-2014,53.0,2014-03-15
270273,Apr,avg,≥6 months,Massachusetts,53.1,2013-2014,53.1,2014-04-15
270278,May,avg,≥6 months,Massachusetts,53.3,2013-2014,53.3,2014-05-15
271216,Jul,avg,≥6 months,Michigan,0.4,2013-2014,0.4,2013-07-15
271221,Aug,avg,≥6 months,Michigan,1.7,2013-2014,1.7,2013-08-15
271226,Sep,avg,≥6 months,Michigan,8.6,2013-2014,8.6,2013-09-15
271231,Oct,avg,≥6 months,Michigan,25.3,2013-2014,25.3,2013-10-15
271236,Nov,avg,≥6 months,Michigan,34.4,2013-2014,34.4,2013-11-15
271241,Dec,avg,≥6 months,Michigan,38.1,2013-2014,38.1,2013-12-15
271246,Jan,avg,≥6 months,Michigan,40.6,2013-2014,40.6,2014-01-15
271251,Feb,avg,≥6 months,Michigan,42.0,2013-2014,42.0,2014-02-15
271256,Mar,avg,≥6 months,Michigan,42.5,2013-2014,42.5,2014-03-15
271261,Apr,avg,≥6 months,Michigan,42.9,2013-2014,42.9,2014-04-15
271266,May,avg,≥6 months,Michigan,42.9,2013-2014,42.9,2014-05-15
272209,Aug,avg,≥6 months,Minnesota,1.9,2013-2014,1.9,2013-08-15
272214,Sep,avg,≥6 months,Minnesota,9.8,2013-2014,9.8,2013-09-15
272219,Oct,avg,≥6 months,Minnesota,33.0,2013-2014,33.0,2013-10-15
272224,Nov,avg,≥6 months,Minnesota,45.1,2013-2014,45.1,2013-11-15
272229,Dec,avg,≥6 months,Minnesota,48.4,2013-2014,48.4,2013-12-15
272234,Jan,avg,≥6 months,Minnesota,50.3,2013-2014,50.3,2014-01-15
272239,Feb,avg,≥6 months,Minnesota,51.3,2013-2014,51.3,2014-02-15
272244,Mar,avg,≥6 months,Minnesota,51.7,2013-2014,51.7,2014-03-15
272249,Apr,avg,≥6 months,Minnesota,51.7,2013-2014,51.7,2014-04-15
272254,May,avg,≥6 months,Minnesota,51.7,2013-2014,51.7,2014-05-15
273192,Jul,avg,≥6 months,Mississippi,0.5,2013-2014,0.5,2013-07-15
273197,Aug,avg,≥6 months,Mississippi,2.5,2013-2014,2.5,2013-08-15
273202,Sep,avg,≥6 months,Mississippi,6.6,2013-2014,6.6,2013-09-15
273207,Oct,avg,≥6 months,Mississippi,21.3,2013-2014,21.3,2013-10-15
273212,Nov,avg,≥6 months,Mississippi,31.0,2013-2014,31.0,2013-11-15
273217,Dec,avg,≥6 months,Mississippi,34.5,2013-2014,34.5,2013-12-15
273222,Jan,avg,≥6 months,Mississippi,37.2,2013-2014,37.2,2014-01-15
273227,Feb,avg,≥6 months,Mississippi,37.8,2013-2014,37.8,2014-02-15
274180,Jul,avg,≥6 months,Missouri,0.2,2013-2014,0.2,2013-07-15
274185,Aug,avg,≥6 months,Missouri,1.5,2013-2014,1.5,2013-08-15
274190,Sep,avg,≥6 months,Missouri,8.2,2013-2014,8.2,2013-09-15
274195,Oct,avg,≥6 months,Missouri,28.0,2013-2014,28.0,2013-10-15
274200,Nov,avg,≥6 months,Missouri,38.9,2013-2014,38.9,2013-11-15
274205,Dec,avg,≥6 months,Missouri,42.7,2013-2014,42.7,2013-12-15
274210,Jan,avg,≥6 months,Missouri,45.5,2013-2014,45.5,2014-01-15
274215,Feb,avg,≥6 months,Missouri,47.2,2013-2014,47.2,2014-02-15
274220,Mar,avg,≥6 months,Missouri,47.9,2013-2014,47.9,2014-03-15
274225,Apr,avg,≥6 months,Missouri,48.2,2013-2014,48.2,2014-04-15
274230,May,avg,≥6 months,Missouri,48.3,2013-2014,48.3,2014-05-15
275168,Jul,avg,≥6 months,Montana,0.2,2013-2014,0.2,2013-07-15
275173,Aug,avg,≥6 months,Montana,1.1,2013-2014,1.1,2013-08-15
275178,Sep,avg,≥6 months,Montana,6.0,2013-2014,6.0,2013-09-15
275183,Oct,avg,≥6 months,Montana,25.7,2013-2014,25.7,2013-10-15
275188,Nov,avg,≥6 months,Montana,35.1,2013-2014,35.1,2013-11-15
275193,Dec,avg,≥6 months,Montana,37.9,2013-2014,37.9,2013-12-15
275198,Jan,avg,≥6 months,Montana,40.0,2013-2014,40.0,2014-01-15
275203,Feb,avg,≥6 months,Montana,40.7,2013-2014,40.7,2014-02-15
275208,Mar,avg,≥6 months,Montana,41.2,2013-2014,41.2,2014-03-15
275213,Apr,avg,≥6 months,Montana,41.8,2013-2014,41.8,2014-04-15
275218,May,avg,≥6 months,Montana,41.9,2013-2014,41.9,2014-05-15
276161,Aug,avg,≥6 months,Nebraska,1.8,2013-2014,1.8,2013-08-15
276166,Sep,avg,≥6 months,Nebraska,8.1,2013-2014,8.1,2013-09-15
276171,Oct,avg,≥6 months,Nebraska,31.5,2013-2014,31.5,2013-10-15
276176,Nov,avg,≥6 months,Nebraska,42.8,2013-2014,42.8,2013-11-15
276181,Dec,avg,≥6 months,Nebraska,45.8,2013-2014,45.8,2013-12-15
276186,Jan,avg,≥6 months,Nebraska,48.5,2013-2014,48.5,2014-01-15
276191,Feb,avg,≥6 months,Nebraska,49.7,2013-2014,49.7,2014-02-15
276196,Mar,avg,≥6 months,Nebraska,50.3,2013-2014,50.3,2014-03-15
276201,Apr,avg,≥6 months,Nebraska,50.8,2013-2014,50.8,2014-04-15
276206,May,avg,≥6 months,Nebraska,51.0,2013-2014,51.0,2014-05-15
277149,Aug,avg,≥6 months,Nevada,2.1,2013-2014,2.1,2013-08-15
277154,Sep,avg,≥6 months,Nevada,7.6,2013-2014,7.6,2013-09-15
277159,Oct,avg,≥6 months,Nevada,20.7,2013-2014,20.7,2013-10-15
277164,Nov,avg,≥6 months,Nevada,27.9,2013-2014,27.9,2013-11-15
277169,Dec,avg,≥6 months,Nevada,31.2,2013-2014,31.2,2013-12-15
277174,Jan,avg,≥6 months,Nevada,32.9,2013-2014,32.9,2014-01-15
277179,Feb,avg,≥6 months,Nevada,35.1,2013-2014,35.1,2014-02-15
277184,Mar,avg,≥6 months,Nevada,36.2,2013-2014,36.2,2014-03-15
277189,Apr,avg,≥6 months,Nevada,36.3,2013-2014,36.3,2014-04-15
277194,May,avg,≥6 months,Nevada,36.4,2013-2014,36.4,2014-05-15
278132,Jul,avg,≥6 months,New Hampshire,0.2,2013-2014,0.2,2013-07-15
278137,Aug,avg,≥6 months,New Hampshire,1.0,2013-2014,1.0,2013-08-15
278142,Sep,avg,≥6 months,New Hampshire,9.1,2013-2014,9.1,2013-09-15
278147,Oct,avg,≥6 months,New Hampshire,29.8,2013-2014,29.8,2013-10-15
278152,Nov,avg,≥6 months,New Hampshire,40.5,2013-2014,40.5,2013-11-15
278157,Dec,avg,≥6 months,New Hampshire,43.8,2013-2014,43.8,2013-12-15
278162,Jan,avg,≥6 months,New Hampshire,46.0,2013-2014,46.0,2014-01-15
278167,Feb,avg,≥6 months,New Hampshire,46.8,2013-2014,46.8,2014-02-15
278172,Mar,avg,≥6 months,New Hampshire,47.6,2013-2014,47.6,2014-03-15
278177,Apr,avg,≥6 months,New Hampshire,47.9,2013-2014,47.9,2014-04-15
278182,May,avg,≥6 months,New Hampshire,48.0,2013-2014,48.0,2014-05-15
