date,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2015-01-18,0,0,0,0,22,16,0,0,0,7,5,0,0,13,0,24,21,0,0,0,22,53,15,23,0,25,0,0,72,40,0,85,7,14,72,14,37,16,31,0,27,100,0,15,0,61,11,20,0,28,0
2015-01-25,18,0,48,0,7,0,0,32,0,5,10,29,0,0,27,24,20,0,0,0,14,26,14,46,0,24,0,0,0,0,10,78,10,18,73,18,29,16,17,45,40,0,56,17,0,0,6,10,0,0,0
2015-02-01,18,0,24,0,20,0,26,0,0,0,5,0,23,19,0,23,20,53,50,0,14,13,14,23,0,0,40,0,0,0,15,0,8,0,0,17,14,31,15,0,26,0,37,15,39,0,8,24,0,0,0
2015-02-08,18,0,25,0,14,15,0,31,100,0,0,0,0,13,0,0,0,26,49,0,14,19,0,0,0,0,0,25,35,39,20,79,6,9,0,9,0,16,11,0,26,0,0,8,0,0,13,10,0,0,0
2015-02-15,0,0,25,0,17,31,26,0,0,5,0,0,24,39,0,0,0,0,55,0,0,20,0,23,69,24,0,29,36,0,0,80,5,9,0,9,15,48,16,46,0,0,0,6,0,0,36,0,0,18,0
2015-02-22,18,0,0,0,6,15,0,0,0,4,20,0,0,13,0,24,0,26,0,0,0,26,29,0,33,0,0,30,34,0,10,0,10,0,0,17,0,0,0,0,0,0,16,4,0,0,33,20,0,18,0
2015-03-01,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,0,25,0,19,0,22,0,48,0,0,35,0,10,0,8,8,72,13,29,31,0,0,0,0,0,10,0,0,16,10,0,54,0
2015-03-08,18,0,0,0,18,16,0,0,0,7,10,0,0,13,0,50,0,28,0,0,15,13,14,23,0,52,0,0,0,0,0,0,3,9,0,14,0,16,8,0,0,0,0,5,0,0,18,0,0,19,0
2015-03-15,19,0,0,0,7,16,0,0,0,0,5,0,0,20,0,0,0,28,56,0,15,13,15,23,46,0,0,0,35,0,0,0,3,0,0,19,31,0,16,46,26,0,0,0,39,0,9,0,0,0,0
2015-03-22,0,0,28,0,8,20,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,25,0,0,0,0,0,0,11,0,7,0,0,10,0,0,9,0,0,0,18,10,44,0,0,0,0,0,0
2015-03-29,0,0,0,0,7,0,0,0,0,0,5,0,0,21,0,0,0,29,0,0,0,13,0,0,0,0,0,0,74,0,0,83,5,0,0,10,0,0,12,0,0,0,0,5,0,0,4,0,0,0,0
2015-04-05,0,0,0,0,9,17,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,16,23,0,25,0,0,0,0,11,0,5,14,0,9,0,16,12,0,0,0,17,4,0,0,16,0,0,37,0
2015-04-12,0,0,25,0,7,17,57,0,0,9,5,36,0,33,28,0,0,0,0,0,15,0,15,0,0,0,0,63,0,43,0,0,7,18,0,14,0,0,12,0,0,0,0,22,0,0,4,0,0,19,0
2015-04-19,19,0,25,49,7,0,0,0,0,5,16,0,0,38,27,47,0,0,0,0,0,0,29,92,47,26,0,31,35,0,0,0,7,0,73,0,0,16,8,48,26,0,0,14,0,0,12,10,40,36,0
2015-04-26,20,0,0,0,8,0,26,0,0,9,0,0,0,13,0,100,22,29,0,0,0,13,23,24,0,0,0,0,0,0,0,0,7,0,0,14,0,0,16,0,27,0,0,0,40,0,8,11,0,19,0
2015-05-03,0,0,0,52,3,0,0,0,0,9,0,0,0,20,0,37,0,0,0,0,0,14,0,72,100,26,0,0,0,0,0,0,0,0,75,10,0,19,8,0,0,0,0,5,40,0,0,11,0,37,0
2015-05-10,0,0,0,0,12,0,0,0,0,5,0,0,0,20,0,25,0,30,0,0,0,0,0,36,53,0,0,65,0,0,0,0,3,0,0,20,15,21,13,0,29,0,0,4,0,0,4,0,0,19,0
2015-05-17,0,0,26,0,7,0,0,0,0,7,6,0,0,14,30,26,0,31,0,0,15,0,41,49,0,28,0,0,0,0,10,0,4,19,0,0,0,24,26,0,28,0,0,9,42,0,0,0,0,0,91
2015-05-24,0,0,0,0,10,0,0,0,0,5,0,0,0,28,65,27,0,0,0,0,0,0,0,25,0,29,0,0,0,46,11,0,4,0,0,16,0,0,0,0,29,0,19,9,0,0,4,12,0,0,0
2015-05-31,0,0,0,0,17,0,26,0,0,5,6,0,0,0,0,0,0,0,0,0,0,14,0,25,0,0,0,0,34,0,10,0,3,10,0,0,0,0,8,0,0,0,0,10,0,66,4,0,0,39,0
2015-06-07,0,0,27,0,7,0,0,0,0,0,0,0,0,21,0,28,0,0,0,0,31,0,33,52,0,0,0,67,0,0,0,0,5,10,0,21,16,0,34,0,0,0,0,10,0,0,4,0,0,20,0
2015-06-14,0,0,39,0,4,0,0,0,0,5,0,0,0,0,33,0,0,62,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,66,0,5,0,0,0,0,0,0,0
2015-06-21,0,0,0,0,0,18,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,4,10,0,21,0,30,0,0,0,66,0,4,0,0,0,0,0,0,100
2015-06-28,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,12,0,0,0,24,4,0,0,11,0,0,0,0
2015-07-05,0,0,0,0,10,0,0,0,0,0,5,0,0,0,31,0,0,0,0,0,16,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
2015-07-12,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,66,0,16,0,0,27,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,17,0,0,4,0,0,11,13,0,21,0
2015-07-19,19,0,0,0,3,17,0,0,0,0,0,50,0,11,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,35,4,0,0,0,13,0,21,0
2015-07-26,0,0,26,0,5,0,0,0,0,4,0,49,0,0,0,26,0,0,0,0,16,15,0,0,0,28,0,0,0,0,10,0,5,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2015-08-02,0,0,26,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0
2015-08-09,19,0,0,0,3,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,20,0,30,0,0,16,0,0,7,43,0,0,0,0,0,0
2015-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,46,0,0,0,15,0,27,0,0,0,0,31,0,0,0,3,9,0,10,28,0,0,0,0,0,22,4,0,0,0,0,0,0,0
2015-08-23,17,0,0,0,10,0,0,0,0,4,5,0,0,11,0,0,0,0,0,0,0,15,39,0,0,24,0,29,0,0,0,0,3,0,0,0,0,28,0,0,18,57,0,4,0,0,0,0,0,21,0
2015-08-30,0,0,0,98,3,15,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,49,0,0,0,0,10,0,0,0,0,9,0,0,11,0,19,0,0,7,0,0,0,0,0,20,0
2015-09-06,0,0,0,0,10,0,0,0,0,4,5,0,0,16,0,23,0,0,0,0,0,0,13,0,0,0,0,30,0,0,10,0,7,9,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2015-09-13,0,0,0,0,7,0,0,0,0,6,5,0,0,10,25,0,0,0,0,0,30,14,12,0,0,24,0,0,0,0,0,0,10,8,0,27,27,0,0,44,39,0,22,10,0,0,10,10,0,19,0
